,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Jan-29,1.03%,3.46%,-1.27%,5.72%,7.95%,0.46%,4.66%,0.34%,0.69%,5.38%,-1.61%,0.12%,4.54%,4.03%,3.58%,2.83%
Feb-29,1.94%,0.28%,1.98%,-0.66%,0.40%,0.39%,-0.34%,0.36%,1.58%,-1.02%,1.62%,0.03%,-0.45%,1.74%,-2.07%,3.68%
Mar-29,-4.57%,-6.05%,-1.27%,0.69%,-0.20%,-1.39%,-0.89%,0.34%,-4.91%,0.35%,-1.61%,-1.73%,-1.16%,-1.26%,-6.82%,3.00%
Apr-29,0.48%,0.02%,-2.23%,2.21%,2.37%,0.54%,1.43%,0.36%,0.12%,1.85%,-2.59%,0.18%,2.17%,0.74%,-2.35%,2.57%
May-29,-7.90%,-12.21%,-17.21%,-2.05%,-4.55%,-12.50%,-6.39%,0.44%,-8.34%,-2.49%,-17.65%,-12.94%,4.60%,-7.24%,-13.81%,-0.08%
Jun-29,6.63%,5.73%,7.61%,8.66%,13.11%,11.22%,9.70%,0.52%,6.11%,8.14%,7.09%,10.70%,2.55%,7.32%,4.00%,6.84%
Jul-29,1.48%,-0.99%,-3.32%,7.01%,4.33%,1.89%,4.46%,0.33%,1.15%,6.68%,-3.65%,1.56%,5.89%,4.20%,-3.59%,7.92%
Aug-29,-0.77%,0.04%,-2.22%,8.65%,11.49%,8.21%,8.18%,0.40%,-1.17%,8.25%,-2.62%,7.81%,3.22%,5.52%,-1.22%,8.04%
Sep-29,-3.66%,-3.77%,-8.77%,-3.25%,-5.61%,-8.75%,-5.47%,0.35%,-4.01%,-3.60%,-9.12%,-9.10%,1.80%,-4.84%,-6.72%,-1.76%
Oct-29,-15.58%,-25.51%,-30.88%,-9.81%,-21.39%,-28.63%,-20.12%,0.46%,-16.04%,-10.27%,-31.34%,-29.09%,5.66%,-13.38%,-26.23%,0.34%
Nov-29,-15.24%,-16.12%,-13.25%,-8.89%,-13.66%,-16.52%,-12.74%,0.37%,-15.61%,-9.26%,-13.62%,-16.89%,-3.84%,-11.07%,-11.43%,-6.70%
Dec-29,-5.30%,-4.30%,-3.89%,-0.47%,3.02%,5.65%,1.33%,0.37%,-5.67%,-0.84%,-4.26%,5.28%,-3.86%,1.79%,-11.04%,9.85%
Jan-30,9.48%,16.93%,18.93%,3.31%,6.56%,5.82%,5.61%,0.14%,9.34%,3.17%,18.79%,5.68%,-1.51%,4.41%,23.20%,-10.00%
Feb-30,2.94%,7.29%,2.43%,2.37%,1.76%,5.08%,2.50%,0.30%,2.64%,2.07%,2.13%,4.78%,0.39%,1.93%,4.17%,-0.32%
Mar-30,8.16%,17.77%,12.69%,4.87%,10.21%,6.47%,7.10%,0.35%,7.81%,4.52%,12.34%,6.12%,0.72%,6.05%,14.29%,-1.81%
Apr-30,-3.25%,-5.52%,-7.83%,-2.92%,-1.78%,-0.88%,-2.06%,0.21%,-3.46%,-3.13%,-8.04%,-1.09%,-0.74%,-2.88%,-3.44%,-1.43%
May-30,-1.39%,-1.81%,-8.56%,-0.50%,-0.58%,-4.11%,-1.66%,0.26%,-1.65%,-0.76%,-8.82%,-4.37%,3.22%,0.86%,-10.56%,8.30%
Jun-30,-16.60%,-22.13%,-28.32%,-9.91%,-16.66%,-24.25%,-16.27%,0.27%,-16.87%,-10.18%,-28.59%,-24.52%,2.75%,-10.58%,-29.39%,6.15%
Jul-30,3.58%,3.40%,4.44%,2.96%,4.29%,7.67%,4.12%,0.20%,3.38%,2.76%,4.24%,7.47%,-0.42%,1.58%,6.75%,-2.52%
Aug-30,-1.71%,-1.83%,-3.88%,1.16%,0.91%,-1.65%,0.30%,0.09%,-1.80%,1.07%,-3.97%,-1.74%,1.78%,0.31%,-8.22%,5.99%
Sep-30,-11.96%,-21.58%,-21.16%,-7.90%,-13.46%,-20.75%,-12.75%,0.22%,-12.18%,-8.12%,-21.38%,-20.97%,2.84%,-9.33%,-22.21%,2.90%
